course_name,internship_role,government_department,sector,location_city,minimum_age,maximum_age,duration_months,stipend_per_month_inr,mode,minimum_percentage_required,skill_requirement,certificate_provided,pre_placement_offer_possibility,application_mode,stipend_bucket,duration_bucket
MCA,Accounts Intern,Haryana Revenue Department,legal & judiciary,rohtak,19,30,3,10000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
B.Tech Mechanical,Accounts Intern,District Administration Office,education,rohtak,20,29,3,15000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,short
B.Tech Civil,Transport Operations Intern,Haryana IT Department,energy,hisar,21,22,2,8000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,short
D.Pharmacy,Data Analyst Intern,Haryana Women & Child Development,agriculture,rohtak,19,24,2,15000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
MBBS,Urban Planning Intern,Haryana Social Justice Department,legal & judiciary,yamunanagar,21,24,3,12000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
BA Economics,Agriculture Field Intern,Haryana Urban Local Bodies,finance & accounts,yamunanagar,20,29,2,15000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
B.Tech Mechanical,Social Welfare Intern,Haryana IT Department,agriculture,gurgaon,18,29,3,10000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,short
MBA,Water Resource Management Intern,Haryana Education Department,it & digital,chandigarh,20,22,4,0,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,medium
BSc Nursing,Junior Mechanical Intern,Haryana IT Department,infrastructure,kaithal,21,26,2,12000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
BSc Nursing,Accounts Intern,Haryana Skill Development Mission,education,sirsa,18,27,2,12000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
B.Ed,Clinical Intern,Haryana Health Department,social welfare,rohtak,21,29,3,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
B.Pharmacy,Accounts Intern,Haryana Renewable Energy Department,infrastructure,faridabad,18,24,4,0,on-site,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,unpaid,medium
B.Tech Electrical,Data Analyst Intern,Haryana Urban Local Bodies,agriculture,sonipat,21,26,4,10000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,medium
Diploma Mechanical,Transport Operations Intern,Haryana Urban Local Bodies,social welfare,yamunanagar,21,29,3,10000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,short
BSc Environmental Science,Civil Site Intern,Haryana Urban Local Bodies,it & digital,sirsa,18,25,4,20000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
Diploma Civil,Agriculture Field Intern,District Administration Office,healthcare,panipat,21,23,2,15000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
BSc Environmental Science,Water Resource Management Intern,District Administration Office,finance & accounts,panipat,18,28,4,0,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,medium
ITI Fitter,Accounts Intern,Haryana Public Works Department,social welfare,faridabad,20,23,3,10000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,short
LLB,Banking Operations Intern,Haryana Skill Development Mission,social welfare,gurgaon,20,30,3,8000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,short
M.Ed,Software Development Intern,Haryana IT Department,energy,ambala,21,22,6,10000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,medium
ITI Welder,Junior Mechanical Intern,Haryana Transport Department,education,sonipat,18,23,6,0,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,medium
BSc Agriculture,Urban Planning Intern,Haryana Renewable Energy Department,it & digital,gurgaon,20,26,1,10000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,very_short
BCA,Police Administration Intern,Haryana Irrigation Department,agriculture,ambala,19,25,3,10000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
B.Ed,Renewable Energy Intern,Haryana Renewable Energy Department,energy,faridabad,21,22,1,15000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,very_short
LLM,Accounts Intern,Haryana Renewable Energy Department,finance & accounts,hisar,20,28,2,8000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
BSc Biotechnology,Software Development Intern,Haryana Social Justice Department,legal & judiciary,panipat,19,27,2,0,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,unpaid,short
Diploma Civil,HR Intern,Haryana Agriculture Department,finance & accounts,rohtak,18,24,3,12000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,short
BSc Environmental Science,Public Policy Intern,Haryana Urban Local Bodies,energy,ambala,19,28,1,15000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,very_short
LLB,Transport Operations Intern,Haryana Renewable Energy Department,social welfare,panipat,18,27,4,12000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,medium
ITI Electrician,Agriculture Field Intern,District Administration Office,social welfare,gurgaon,18,25,2,15000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
BSc Biotechnology,Junior Mechanical Intern,District Administration Office,education,jind,19,29,3,0,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,short
BSc Agriculture,Junior Mechanical Intern,Haryana Agriculture Department,education,faridabad,20,29,4,8000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
ITI Electrician,Agriculture Field Intern,Haryana Skill Development Mission,social welfare,faridabad,21,27,2,15000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
MBBS,Junior Mechanical Intern,Haryana Revenue Department,social welfare,kaithal,20,24,1,12000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,very_short
M.Ed,Junior Mechanical Intern,Haryana Education Department,legal & judiciary,rohtak,20,26,3,8000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,short
B.Tech Electrical,HR Intern,Haryana Revenue Department,education,chandigarh,21,28,4,0,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,medium
BSc Agriculture,Public Policy Intern,Haryana Women & Child Development,legal & judiciary,panipat,18,28,4,15000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
ITI Welder,Agriculture Field Intern,Haryana Transport Department,infrastructure,bhiwani,19,28,6,0,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,email application,unpaid,medium
BCA,Hospital Administration Intern,Haryana Education Department,legal & judiciary,sonipat,20,26,6,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
BSc Agriculture,Agriculture Field Intern,Haryana Health Department,legal & judiciary,karnal,19,27,2,10000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,short
B.Ed,Renewable Energy Intern,Haryana Transport Department,infrastructure,ambala,20,25,6,0,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,unpaid,medium
BSc Agriculture,Data Analyst Intern,Haryana Irrigation Department,agriculture,karnal,20,25,6,15000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,medium
ITI Welder,Social Welfare Intern,Haryana Revenue Department,it & digital,jind,19,23,2,20000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
B.Tech Computer Science,Police Administration Intern,District Administration Office,finance & accounts,gurgaon,21,26,3,0,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,short
ITI Electrician,Data Analyst Intern,Haryana Public Works Department,it & digital,panipat,21,23,3,20000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
B.Tech Civil,Clinical Intern,Haryana Irrigation Department,education,bhiwani,20,26,4,20000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,medium
BSc Agriculture,Renewable Energy Intern,Haryana Public Works Department,legal & judiciary,faridabad,19,22,3,20000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
ITI Electrician,Transport Operations Intern,Haryana Revenue Department,education,hisar,18,26,1,0,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,unpaid,very_short
B.Com,Banking Operations Intern,Haryana Urban Local Bodies,public administration,rohtak,21,24,3,20000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
B.Tech Civil,Accounts Intern,Haryana Public Works Department,infrastructure,bhiwani,20,29,3,15000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
B.Com,Public Policy Intern,District Administration Office,infrastructure,gurgaon,20,26,2,15000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,short
B.Tech Computer Science,Data Analyst Intern,Haryana Education Department,healthcare,bhiwani,20,25,1,0,on-site,65,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,very_short
MBBS,Digital Governance Intern,Haryana Renewable Energy Department,finance & accounts,karnal,18,25,3,8000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
BCA,Hospital Administration Intern,Haryana Revenue Department,education,ambala,18,23,4,0,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,medium
BSc Nursing,Transport Operations Intern,Haryana Social Justice Department,public administration,ambala,18,24,6,15000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
BCA,Data Analyst Intern,Haryana Education Department,healthcare,hisar,20,26,2,15000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
B.Tech Electrical,Social Welfare Intern,Haryana Urban Local Bodies,public administration,gurgaon,18,23,2,12000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
BSc Agriculture,Clinical Intern,Haryana Urban Local Bodies,finance & accounts,yamunanagar,19,24,6,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,medium
ITI Welder,Banking Operations Intern,Haryana Skill Development Mission,infrastructure,bhiwani,18,25,1,15000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,very_short
BSc IT,HR Intern,Haryana Police Department,it & digital,yamunanagar,20,30,2,15000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
B.Tech Electrical,Renewable Energy Intern,Haryana Social Justice Department,legal & judiciary,bhiwani,19,27,4,20000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
BCA,HR Intern,Haryana Police Department,legal & judiciary,panipat,21,28,3,20000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,short
Diploma Civil,Digital Governance Intern,Haryana Renewable Energy Department,legal & judiciary,hisar,20,23,3,15000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
D.Pharmacy,Data Analyst Intern,Haryana Skill Development Mission,energy,hisar,18,30,3,10000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
LLB,Banking Operations Intern,Haryana Revenue Department,legal & judiciary,kaithal,18,24,3,0,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,unpaid,short
M.Ed,Transport Operations Intern,Haryana Agriculture Department,energy,jind,20,27,2,0,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,short
BSc Biotechnology,Renewable Energy Intern,Haryana IT Department,education,faridabad,19,23,6,8000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
B.Tech Computer Science,Electrical Maintenance Intern,Haryana Education Department,it & digital,hisar,18,27,4,0,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,email application,unpaid,medium
B.Ed,Public Policy Intern,Haryana Agriculture Department,energy,jind,18,30,4,20000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,medium
BA Economics,Electrical Maintenance Intern,Haryana Health Department,energy,karnal,19,29,2,12000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
D.Pharmacy,Water Resource Management Intern,Haryana Social Justice Department,it & digital,ambala,20,27,3,15000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
BSc Nursing,Agriculture Field Intern,Haryana Police Department,infrastructure,sirsa,20,22,4,0,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,unpaid,medium
BSc IT,Banking Operations Intern,Haryana IT Department,social welfare,panipat,20,27,2,20000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
BSc Agriculture,Civil Site Intern,Haryana Health Department,education,bhiwani,20,23,3,8000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,short
Diploma Civil,Renewable Energy Intern,Haryana Urban Local Bodies,legal & judiciary,yamunanagar,21,30,3,12000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
BSc Agriculture,Urban Planning Intern,Haryana Women & Child Development,agriculture,hisar,19,23,2,10000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,short
B.Tech Mechanical,Police Administration Intern,Haryana Health Department,education,ambala,21,29,3,20000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
LLB,Public Policy Intern,Haryana Revenue Department,finance & accounts,faridabad,19,24,1,8000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,very_short
BA Economics,Agriculture Field Intern,Haryana Police Department,agriculture,bhiwani,21,29,3,12000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
MBBS,Legal Research Intern,Haryana IT Department,energy,jind,21,27,6,20000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,medium
BSc Biotechnology,Accounts Intern,Haryana Social Justice Department,social welfare,karnal,18,30,2,15000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
LLM,Urban Planning Intern,Haryana Police Department,infrastructure,sonipat,20,27,6,15000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
BSc Nursing,Accounts Intern,Haryana Urban Local Bodies,infrastructure,panipat,19,22,4,8000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
BSc Agriculture,Renewable Energy Intern,Haryana Skill Development Mission,finance & accounts,kaithal,20,28,2,0,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,short
B.Tech Computer Science,Water Resource Management Intern,Haryana Social Justice Department,healthcare,chandigarh,21,25,3,20000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
B.Tech Electrical,Public Policy Intern,Haryana Public Works Department,finance & accounts,karnal,18,27,1,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,very_short
LLB,Software Development Intern,Haryana Agriculture Department,social welfare,kaithal,19,24,3,8000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,short
B.Pharmacy,Urban Planning Intern,Haryana Health Department,infrastructure,yamunanagar,19,23,4,0,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,email application,unpaid,medium
ITI Electrician,Junior Mechanical Intern,Haryana Urban Local Bodies,agriculture,jind,20,26,4,15000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,medium
B.Tech Electrical,Public Policy Intern,Haryana Transport Department,agriculture,kaithal,18,23,6,20000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
ITI Welder,Renewable Energy Intern,Haryana Public Works Department,energy,jind,20,26,6,8000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,medium
LLB,Data Analyst Intern,Haryana Urban Local Bodies,social welfare,sirsa,20,30,3,8000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
BSc Agriculture,Clinical Intern,Haryana Renewable Energy Department,infrastructure,rohtak,20,22,3,0,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,short
MBBS,Civil Site Intern,Haryana Health Department,it & digital,panipat,20,22,6,15000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,medium
Diploma Civil,Digital Governance Intern,Haryana Irrigation Department,social welfare,bhiwani,19,29,6,10000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
Diploma Civil,Agriculture Field Intern,Haryana Transport Department,agriculture,chandigarh,21,28,3,0,on-site,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,unpaid,short
BSc Biotechnology,Software Development Intern,Haryana IT Department,agriculture,faridabad,19,28,2,0,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,short
LLM,Renewable Energy Intern,Haryana Revenue Department,infrastructure,chandigarh,21,25,6,20000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
B.Tech Mechanical,Public Policy Intern,Haryana Women & Child Development,finance & accounts,karnal,21,27,2,10000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,short
MBA,Social Welfare Intern,Haryana Urban Local Bodies,social welfare,faridabad,21,29,1,12000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,very_short
BSc Environmental Science,Hospital Administration Intern,Haryana Police Department,infrastructure,sonipat,21,26,2,10000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
BSc Nursing,Police Administration Intern,District Administration Office,public administration,sonipat,21,23,4,10000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,medium
BSc IT,Transport Operations Intern,Haryana Urban Local Bodies,it & digital,panipat,20,23,2,10000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
BSc IT,Water Resource Management Intern,Haryana Transport Department,finance & accounts,chandigarh,18,30,6,15000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,medium
LLM,Digital Governance Intern,Haryana Agriculture Department,education,kaithal,18,27,2,20000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,short
BSc Environmental Science,Water Resource Management Intern,Haryana IT Department,it & digital,bhiwani,19,25,1,15000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,very_short
B.Tech Mechanical,Electrical Maintenance Intern,Haryana Transport Department,public administration,chandigarh,21,24,6,8000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
ITI Electrician,Transport Operations Intern,Haryana Revenue Department,energy,bhiwani,21,22,1,15000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,very_short
D.Pharmacy,Accounts Intern,Haryana Education Department,social welfare,hisar,18,24,4,15000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
MCA,Junior Mechanical Intern,Haryana Police Department,it & digital,gurgaon,19,30,4,12000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,medium
LLB,Software Development Intern,Haryana Urban Local Bodies,finance & accounts,chandigarh,20,27,1,8000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,very_short
B.Tech Electrical,Clinical Intern,Haryana Police Department,public administration,kaithal,18,27,4,10000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
BSc IT,Renewable Energy Intern,Haryana Police Department,it & digital,jind,18,25,3,8000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,short
B.Pharmacy,Water Resource Management Intern,Haryana Revenue Department,it & digital,sonipat,18,25,6,20000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,medium
ITI Electrician,Social Welfare Intern,Haryana Irrigation Department,it & digital,faridabad,19,22,4,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
B.Com,Legal Research Intern,Haryana Irrigation Department,energy,karnal,21,27,3,8000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
B.Tech Mechanical,Digital Governance Intern,Haryana Police Department,infrastructure,chandigarh,18,29,3,0,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,short
ITI Welder,Data Analyst Intern,Haryana Police Department,legal & judiciary,rohtak,19,28,4,0,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,unpaid,medium
Diploma Civil,Water Resource Management Intern,Haryana Irrigation Department,it & digital,chandigarh,21,28,4,15000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
B.Pharmacy,Public Policy Intern,Haryana Transport Department,energy,sonipat,18,29,3,10000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
B.Com,Civil Site Intern,District Administration Office,education,ambala,18,23,2,8000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
B.Pharmacy,Software Development Intern,Haryana Women & Child Development,agriculture,karnal,19,26,1,20000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,very_short
B.Tech Electrical,Transport Operations Intern,Haryana Transport Department,agriculture,hisar,18,25,2,20000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
MBA,Legal Research Intern,Haryana Public Works Department,legal & judiciary,kaithal,20,30,3,12000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
BCA,Banking Operations Intern,Haryana Agriculture Department,social welfare,bhiwani,18,24,4,20000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
B.Ed,Hospital Administration Intern,Haryana IT Department,agriculture,rohtak,21,23,4,10000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
BSc IT,Legal Research Intern,Haryana Police Department,agriculture,yamunanagar,18,26,4,12000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,medium
B.Tech Computer Science,Civil Site Intern,District Administration Office,agriculture,yamunanagar,18,25,3,0,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,unpaid,short
BSc Environmental Science,Urban Planning Intern,Haryana Irrigation Department,public administration,gurgaon,20,22,2,20000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
B.Tech Computer Science,Clinical Intern,Haryana Social Justice Department,it & digital,yamunanagar,21,22,4,15000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,medium
B.Pharmacy,Water Resource Management Intern,Haryana IT Department,infrastructure,bhiwani,19,24,3,12000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
B.Tech Computer Science,Water Resource Management Intern,Haryana Skill Development Mission,legal & judiciary,karnal,18,24,6,12000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
Diploma Civil,Electrical Maintenance Intern,Haryana Social Justice Department,legal & judiciary,jind,19,24,3,10000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
B.Tech Civil,Water Resource Management Intern,Haryana Women & Child Development,finance & accounts,jind,21,22,1,8000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,very_short
B.Ed,Banking Operations Intern,Haryana Police Department,legal & judiciary,chandigarh,21,24,3,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
LLB,Software Development Intern,Haryana Irrigation Department,infrastructure,chandigarh,20,23,1,0,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,very_short
Diploma Mechanical,Electrical Maintenance Intern,District Administration Office,agriculture,panipat,18,23,1,10000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,very_short
LLM,Accounts Intern,Haryana IT Department,it & digital,sirsa,21,26,1,15000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,very_short
B.Tech Electrical,Agriculture Field Intern,Haryana Public Works Department,finance & accounts,rohtak,21,28,2,15000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
BA Political Science,Electrical Maintenance Intern,Haryana Health Department,finance & accounts,karnal,21,29,6,0,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,medium
ITI Fitter,Social Welfare Intern,Haryana Police Department,infrastructure,bhiwani,21,27,2,10000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
BA Economics,Urban Planning Intern,Haryana Urban Local Bodies,public administration,rohtak,19,24,4,8000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,medium
LLB,Police Administration Intern,Haryana Transport Department,agriculture,kaithal,18,29,1,12000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,very_short
BA Political Science,Junior Mechanical Intern,Haryana IT Department,infrastructure,karnal,19,28,6,20000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
MBA,Police Administration Intern,Haryana Police Department,it & digital,yamunanagar,20,30,6,15000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,medium
BSc Nursing,Hospital Administration Intern,Haryana Agriculture Department,education,bhiwani,21,30,3,8000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
BSc Environmental Science,Legal Research Intern,Haryana Health Department,social welfare,sonipat,18,22,2,0,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,short
ITI Fitter,Police Administration Intern,Haryana Social Justice Department,healthcare,chandigarh,19,26,1,20000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,very_short
ITI Fitter,Agriculture Field Intern,Haryana Women & Child Development,public administration,hisar,21,24,1,15000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,very_short
MBBS,Clinical Intern,Haryana Revenue Department,healthcare,jind,18,27,3,0,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,unpaid,short
B.Ed,Agriculture Field Intern,Haryana Agriculture Department,infrastructure,kaithal,21,30,4,10000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,medium
Diploma Civil,Transport Operations Intern,Haryana Irrigation Department,energy,gurgaon,18,27,6,0,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,low,email application,unpaid,medium
BSc IT,Social Welfare Intern,Haryana Revenue Department,energy,chandigarh,20,23,6,0,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,medium
B.Tech Civil,Social Welfare Intern,Haryana Social Justice Department,agriculture,hisar,20,23,3,15000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
BA Political Science,HR Intern,Haryana Renewable Energy Department,finance & accounts,gurgaon,19,30,6,0,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,medium
B.Tech Computer Science,Banking Operations Intern,Haryana IT Department,agriculture,ambala,18,29,3,0,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,unpaid,short
BA Political Science,Electrical Maintenance Intern,Haryana Skill Development Mission,education,hisar,18,23,6,12000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,medium
MCA,Legal Research Intern,Haryana Social Justice Department,education,rohtak,19,22,4,20000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,medium
LLB,Electrical Maintenance Intern,Haryana Revenue Department,agriculture,gurgaon,18,25,3,15000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
