college_id,college_name,college_type,location,affiliated_university,year_established,accreditation,courses_offered,degree_programs_offered,government_funding,mode_of_study,hostel_facilities,tuition_fees,scholarships_available,contact_number,email_address,website_url,admission_process,placement_assistance,student_capacity,region,infrastructure,ranking,college_type.1,accredited_by,last_updated,min_percentage_required,entrance_exam_required,has_entrance_exam,apply_link,min_qualification
HRY065,government college uchana,arts & science,uchana,maharshi dayanand university,1982.0,naac b,"b.a., b.com",ug,state government,regular,no,6600,yes (sc/bc/ews),01681-272456,gcuchana@haryana.gov.in,www.gcuchana.ac.in,merit-based,no,1000,hisar division,"library, basic labs",60,Government,naac,2025-03-06,40,No,True,https://admissions.highereduhry.ac.in/Home,ug
HRY066,government college for women jind,women's college,jind,maharshi dayanand university,1970.0,naac b+,"b.a., b.sc., b.com, bca",ug,state government,regular,yes (girls only),7300,yes (sc/bc/ews/merit),01681-241234,gcwjind@haryana.gov.in,www.gcwjind.ac.in,merit-based,no,1900,rohtak division,"library, computer lab, sports",36,Government Women's College,naac,2025-02-08,40,No,True,https://admissions.highereduhry.ac.in/Home,ug
HRY067,government polytechnic jind,polytechnic,jind,board of technical education haryana,1967.0,nba,"diploma in mechanical, civil, electrical, cs",diploma,state government,regular,yes (boys),11100,yes (sc/bc/ews/iti),01681-243789,gpjind@haryana.gov.in,www.gpjind.ac.in,hstes polytechnic entrance,yes,1200,rohtak division,"workshops, labs, computer center",18,Government Polytechnic,nba,2025-01-31,35,HSTES Polytechnic,True,https://admissions.highereduhry.ac.in/Home,diploma
HRY068,government medical college mahindergarh,medical,mahendragarh,pgims rohtak,2020.0,nmc approved,mbbs,ug,state government,regular,yes (boys & girls),26500,yes (sc/bc/ews),01285-258901,gmcmahindergarh@haryana.gov.in,www.gmcmahindergarh.ac.in,neet ug + state counselling,yes,500,rohtak division,"hospital, labs, library",20,Government Medical College,nmc,2025-02-16,50,NEET UG,True,https://admissions.highereduhry.ac.in/Home,ug
HRY069,government college shahabad markanda,arts & science,shahabad,kurukshetra university,1975.0,naac b,"b.a., b.sc., b.com",ug,state government,regular,no,6700,yes (sc/bc/ews),01744-277567,gcshahabad@haryana.gov.in,www.gcshahabad.ac.in,merit-based,no,1400,ambala division,"library, basic labs",47,Government,naac,2025-03-07,40,No,True,https://admissions.highereduhry.ac.in/Home,ug
HRY070,government college for women sonipat (new),women's college,sonipat,maharshi dayanand university,2004.0,naac b+,"b.a., b.sc., b.com, bca",ug,state government,regular,yes (girls only),7400,yes (sc/bc/ews/merit),0130-2236789,gcwsonipat2@haryana.gov.in,www.gcwsonipat2.ac.in,merit-based,no,1800,rohtak division,"library, labs, sports",35,Government Women's College,naac,2025-02-10,40,No,True,https://admissions.highereduhry.ac.in/Home,ug
HRY071,government engineering college sirsa,engineering,sirsa,dcrust murthal,2014.0,nba,"b.tech (cs, me, ce)",ug,state government,regular,yes (boys & girls),64000,yes (sc/bc/ews),01666-251234,gecsirsa@haryana.gov.in,www.gecsirsa.ac.in,jee main + hstes,yes,480,hisar division,"labs, wi-fi campus, library",27,Government Engineering College,nba,2025-02-01,60,JEE Main,True,https://admissions.highereduhry.ac.in/Home,ug
HRY072,government college bilaspur,arts & science,bilaspur,kurukshetra university,1986.0,naac b,"b.a., b.com",ug,state government,regular,no,6500,yes (sc/bc/ews),01743-274567,gcbilaspur@haryana.gov.in,www.gcbilaspur.ac.in,merit-based,no,1000,ambala division,"library, basic labs",61,Government,naac,2025-03-08,40,No,True,https://admissions.highereduhry.ac.in/Homekuk.ac.in/admission,ug
HRY073,government college kalayat,arts & science,kalayat,kurukshetra university,1987.0,naac b,"b.a., b.com",ug,state government,regular,no,6500,yes (sc/bc/ews),01746-269890,gckalayat@haryana.gov.in,www.gckalayat.ac.in,merit-based,no,1000,ambala division,"library, basic labs",62,Government,naac,2025-03-09,40,No,True,https://admissions.highereduhry.ac.in/Homekuk.ac.in/admission,ug
HRY074,government college for women mahendragarh,women's college,mahendragarh,maharshi dayanand university,1976.0,naac b+,"b.a., b.sc., b.com",ug,state government,regular,yes (girls only),7100,yes (sc/bc/ews/merit),01285-250123,gcwmahendragarh@haryana.gov.in,www.gcwmahendragarh.ac.in,merit-based,no,1600,rohtak division,"library, computer lab, sports",40,Government Women's College,naac,2025-02-11,40,No,True,https://admissions.highereduhry.ac.in/SearchCollege,ug
HRY075,government polytechnic sirsa,polytechnic,sirsa,board of technical education haryana,1969.0,nba,"diploma in mechanical, civil, electrical, cs",diploma,state government,regular,yes (boys),11000,yes (sc/bc/ews/iti),01666-248234,gpsirsa@haryana.gov.in,www.gpsirsa.ac.in,hstes polytechnic entrance,yes,1200,hisar division,"workshops, labs, computer center",19,Government Polytechnic,nba,2025-02-02,35,HSTES Polytechnic,True,https://admissions.highereduhry.ac.in/Homekuk.ac.in/admission,diploma
HRY076,government college nangal chaudhary,arts & science,nangal chaudhary,maharshi dayanand university,1988.0,naac b,"b.a., b.com",ug,state government,regular,no,6500,yes (sc/bc/ews),01285-275234,gcnangalchaudhary@haryana.gov.in,www.gcnangalchaudhary.ac.in,merit-based,no,900,rohtak division,"library, basic labs",63,Government,naac,2025-03-10,40,No,True,https://admissions.highereduhry.ac.in/SearchCollege,ug
HRY077,government medical college ambala,medical,ambala,pgims rohtak,2021.0,nmc approved,mbbs,ug,state government,regular,yes (boys & girls),27500,yes (sc/bc/ews),0171-2652345,gmcambala@haryana.gov.in,www.gmcambala.ac.in,neet ug + state counselling,yes,500,ambala division,"hospital, labs, library",21,Government Medical College,nmc,2025-02-17,50,NEET UG,True,https://admissions.highereduhry.ac.in/Homeuhsr.ac.in/admission,ug
HRY078,government college indri,arts & science,indri,kurukshetra university,1989.0,naac b,"b.a., b.com",ug,state government,regular,no,6500,yes (sc/bc/ews),01742-286789,gcindri@haryana.gov.in,www.gcindri.ac.in,merit-based,no,900,karnal division,"library, basic labs",64,Government,naac,2025-03-11,40,No,True,https://admissions.highereduhry.ac.in/Homekuk.ac.in/admission,ug
HRY079,government college for women ambala,women's college,ambala,kurukshetra university,1962.0,naac a,"b.a., b.sc., b.com, bca, m.a.","ug, pg",state government,regular,yes (girls only),8200,yes (sc/bc/ews/merit),0171-2638901,gcwambala@haryana.gov.in,www.gcwambala.ac.in,merit + ku cet,yes,2500,ambala division,"labs, library, auditorium, sports",14,Government Women's College,naac,2025-01-15,45,KU CET (PG),True,https://admissions.highereduhry.ac.in/Homekuk.ac.in/admission,"ug, pg"
HRY080,government college ratia,arts & science,ratia,chaudhary devi lal university,1990.0,naac b,"b.a., b.com",ug,state government,regular,no,6500,yes (sc/bc/ews),01699-262678,gcratia@haryana.gov.in,www.gcratia.ac.in,merit-based,no,900,hisar division,"library, basic labs",65,Government,naac,2025-03-12,40,No,True,https://admissions.highereduhry.ac.in/Home,ug
HRY081,government college uklana,arts & science,uklana,chaudhary devi lal university,1991.0,naac b,"b.a., b.com",ug,state government,regular,no,6500,yes (sc/bc/ews),01662-285456,gcuklana@haryana.gov.in,www.gcuklana.ac.in,merit-based,no,900,hisar division,"library, basic labs",66,Government,naac,2025-03-13,40,No,True,https://admissions.highereduhry.ac.in/Home,ug
HRY082,government college for women palwal,women's college,palwal,maharshi dayanand university,1977.0,naac b,"b.a., b.com",ug,state government,regular,yes (girls only),6900,yes (sc/bc/ews/merit),01275-240234,gcwpalwal@haryana.gov.in,www.gcwpalwal.ac.in,merit-based,no,1400,gurugram division,"library, computer lab",44,Government Women's College,naac,2025-02-12,40,No,True,https://admissions.highereduhry.ac.in/SearchCollege,ug
HRY083,government polytechnic rewari,polytechnic,rewari,board of technical education haryana,1970.0,nba,"diploma in mechanical, civil, electrical, cs",diploma,state government,regular,yes (boys),11000,yes (sc/bc/ews/iti),01274-222678,gprewari@haryana.gov.in,www.gprewari.ac.in,hstes polytechnic entrance,yes,1000,rohtak division,"workshops, labs, computer center",20,Government Polytechnic,nba,2025-02-05,35,HSTES Polytechnic,True,https://admissions.highereduhry.ac.in/Homekuk.ac.in/admission,diploma
HRY084,government college safidon,arts & science,safidon,maharshi dayanand university,1977.0,naac b,"b.a., b.sc., b.com",ug,state government,regular,no,6700,yes (sc/bc/ews),01681-268345,gcsafidon@haryana.gov.in,www.gcsafidon.ac.in,merit-based,no,1200,rohtak division,"library, basic labs",50,Government,naac,2025-03-14,40,No,True,https://admissions.highereduhry.ac.in/SearchCollege,ug
HRY085,government engineering college gurugram,engineering,gurugram,dcrust murthal,2012.0,nba,"b.tech (cs, me, ce, ee, ece)",ug,state government,regular,yes (boys & girls),70000,yes (sc/bc/ews/sports),0124-2225678,gecgurugram@haryana.gov.in,www.gecgurugram.ac.in,jee main + hstes,yes,1200,gurugram division,"labs, wi-fi campus, library, hostels",16,Government Engineering College,nba,2025-01-04,60,JEE Main,True,https://admissions.highereduhry.ac.in/Home,ug
HRY086,government college for women bahadurgarh,women's college,bahadurgarh,maharshi dayanand university,1979.0,naac b+,"b.a., b.sc., b.com",ug,state government,regular,yes (girls only),7200,yes (sc/bc/ews/merit),01276-238901,gcwbahadurgarh@haryana.gov.in,www.gcwbahadurgarh.ac.in,merit-based,no,1700,rohtak division,"library, computer lab, sports",38,Government Women's College,naac,2025-02-13,40,No,True,https://admissions.highereduhry.ac.in/SearchCollege,ug
HRY087,government college barwala,arts & science,barwala,chaudhary devi lal university,1982.0,naac b,"b.a., b.com",ug,state government,regular,no,6600,yes (sc/bc/ews),01699-250345,gcbarwala@haryana.gov.in,www.gcbarwala.ac.in,merit-based,no,1000,hisar division,"library, basic labs",67,Government,naac,2025-03-15,40,No,True,https://admissions.highereduhry.ac.in/Home,ug
HRY088,government college for women narwana,women's college,narwana,chaudhary devi lal university,1982.0,naac b,"b.a., b.com",ug,state government,regular,yes (girls only),6900,yes (sc/bc/ews/merit),01681-253678,gcwnarwana@haryana.gov.in,www.gcwnarwana.ac.in,merit-based,no,1200,hisar division,"library, computer lab",43,Government Women's College,naac,2025-02-14,40,No,True,https://admissions.highereduhry.ac.in/Home,ug
HRY089,government polytechnic sonipat,polytechnic,sonipat,board of technical education haryana,1968.0,nba,"diploma in mechanical, civil, electrical, cs",diploma,state government,regular,yes (boys),11100,yes (sc/bc/ews/iti),0130-2235678,gpsonipat@haryana.gov.in,www.gpsonipat.ac.in,hstes polytechnic entrance,yes,1200,rohtak division,"workshops, labs, computer center",17,Government Polytechnic,nba,2025-02-06,35,HSTES Polytechnic,True,https://admissions.highereduhry.ac.in/Homekuk.ac.in/admission,diploma
HRY090,government medical college kanal,medical,karnal,pgims rohtak,2017.0,nmc approved,mbbs,ug,state government,regular,yes (boys & girls),25500,yes (sc/bc/ews),0184-2261234,gmckarnal@haryana.gov.in,www.gmckarnal.ac.in,neet ug + state counselling,yes,600,karnal division,"hospital, labs, library",16,Government Medical College,nmc,2025-01-10,50,NEET UG,True,https://admissions.highereduhry.ac.in/Homeuhsr.ac.in/admission,ug
HRY091,government college pataudi,arts & science,pataudi,maharshi dayanand university,1985.0,naac b,"b.a., b.com",ug,state government,regular,no,6600,yes (sc/bc/ews),01284-251234,gcpataudi@haryana.gov.in,www.gcpataudi.ac.in,merit-based,no,900,gurugram division,"library, basic labs",68,Government,naac,2025-03-16,40,No,True,https://admissions.highereduhry.ac.in/SearchCollege,ug
HRY092,government college for women gohana,women's college,gohana,maharshi dayanand university,1981.0,naac b,"b.a., b.com",ug,state government,regular,yes (girls only),6900,yes (sc/bc/ews/merit),01263-254567,gcwgohana@haryana.gov.in,www.gcwgohana.ac.in,merit-based,no,1100,rohtak division,"library, computer lab",46,Government Women's College,naac,2025-02-15,40,No,True,https://admissions.highereduhry.ac.in/SearchCollege,ug
HRY093,government engineering college mahendragarh,engineering,mahendragarh,dcrust murthal,2016.0,nba,"b.tech (cs, me, ce)",ug,state government,regular,yes (boys & girls),63000,yes (sc/bc/ews),01285-257890,gecmahendragarh@haryana.gov.in,www.gecmahendragarh.ac.in,jee main + hstes,yes,480,rohtak division,"labs, wi-fi campus, library",28,Government Engineering College,nba,2025-02-02,60,JEE Main,True,https://admissions.highereduhry.ac.in/Home,ug
HRY094,government college charkhi dadri,arts & science,charkhi dadri,maharshi dayanand university,1975.0,naac b+,"b.a., b.sc., b.com, m.a.","ug, pg",state government,regular,yes (boys),7200,yes (sc/bc/ews/sports),01250-223456,gccharkhidadri@haryana.gov.in,www.gccharkhidadri.ac.in,merit-based,no,2000,rohtak division,"library, labs, sports ground",33,Government,naac,2025-02-19,45,No,True,http://gpgcchdadri.ac.in/,"ug, pg"
HRY095,government college for women charkhi dadri,women's college,charkhi dadri,maharshi dayanand university,1978.0,naac b,"b.a., b.com",ug,state government,regular,yes (girls only),7000,yes (sc/bc/ews/merit),01250-225678,gcwcharkhidadri@haryana.gov.in,www.gcwcharkhidadri.ac.in,merit-based,no,1300,rohtak division,"library, computer lab",45,Government Women's College,naac,2025-02-20,40,No,True,https://admissions.highereduhry.ac.in/SearchCollege,ug
HRY096,government polytechnic bhiwani,polytechnic,bhiwani,board of technical education haryana,1966.0,nba,"diploma in mechanical, civil, electrical, cs, ece",diploma,state government,regular,yes (boys),11400,yes (sc/bc/ews/iti),01664-242890,gpbhiwani@haryana.gov.in,www.gpbhiwani.ac.in,hstes polytechnic entrance,yes,1400,hisar division,"workshops, labs, computer center",15,Government Polytechnic,nba,2025-02-07,35,HSTES Polytechnic,True,https://admissions.highereduhry.ac.in/Homekuk.ac.in/admission,diploma
HRY097,government medical college gurugram,medical,gurugram,pgims rohtak,2020.0,nmc approved,mbbs,ug,state government,regular,yes (boys & girls),28000,yes (sc/bc/ews),0124-2323456,gmcgurugram@haryana.gov.in,www.gmcgurugram.ac.in,neet ug + state counselling,yes,600,gurugram division,"hospital, labs, library, icu",18,Government Medical College,nmc,2025-02-18,50,NEET UG,True,https://admissions.highereduhry.ac.in/Homeuhsr.ac.in/admission,ug
HRY098,government college mullana,arts & science,mullana,kurukshetra university,1984.0,naac b,"b.a., b.sc., b.com",ug,state government,regular,no,6700,yes (sc/bc/ews),01733-286678,gcmullana@haryana.gov.in,www.gcmullana.ac.in,merit-based,no,1200,ambala division,"library, basic labs",48,Government,naac,2025-03-17,40,No,True,https://admissions.highereduhry.ac.in/Homekuk.ac.in/admission,ug
HRY099,government college for women sirsa (new),women's college,sirsa,chaudhary devi lal university,2003.0,naac b,"b.a., b.com",ug,state government,regular,yes (girls only),6900,yes (sc/bc/ews/merit),01666-244789,gcwsirsa2@haryana.gov.in,www.gcwsirsa2.ac.in,merit-based,no,1100,hisar division,"library, computer lab",47,Government Women's College,naac,2025-02-21,40,No,True,https://admissions.highereduhry.ac.in/Home,ug
HRY100,government engineering college jhajjar,engineering,jhajjar,dcrust murthal,2016.0,nba,"b.tech (cs, me, ce, ee)",ug,state government,regular,yes (boys & girls),63500,yes (sc/bc/ews/sports),01251-257890,gecjhajjar@haryana.gov.in,www.gecjhajjar.ac.in,jee main + hstes,yes,480,rohtak division,"labs, wi-fi campus, library, hostels",29,Government Engineering College,nba,2025-02-09,60,JEE Main,True,https://admissions.highereduhry.ac.in/Home,ug
